16 16
2
4
6
5 10
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;5 ;0 ;5 ;5P;5 ;0 ;0 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;0
0 ;5 ;5 ;5 ;5 ;5M;0 ;0 ;4 ;4 ;4M;4 ;4M;0 ;0 ;0
0 ;5 ;5M;5M;5 ;5 ;5M;5 ;4 ;4P;4 ;4 ;4 ;4 ;4 ;0
0 ;5 ;5 ;5 ;5 ;5 ;5 ;5 ;4M;4 ;4 ;4 ;4 ;4M;4 ;0
0 ;5 ;5 ;5 ;5 ;2P;2 ;2 ;2M;2 ;4T;4 ;4 ;4 ;4 ;0
0 ;5 ;5 ;5 ;5M;2 ;2 ;2M;2M;2 ;1 ;4M;0 ;0 ;0 ;0
0 ;0 ;0 ;5M;5 ;2 ;2M;2 ;2M;2 ;1 ;4 ;4 ;4 ;4 ;0
0 ;0 ;3 ;3M;3 ;2 ;2 ;2 ;2 ;2 ;1M;1 ;6 ;6 ;6 ;0
0 ;3 ;3 ;3M;3M;2 ;2M;2 ;2 ;2 ;1 ;1 ;6 ;6 ;6 ;0
0 ;3 ;3 ;3 ;3 ;2 ;2 ;2 ;2 ;2M;1P;1 ;6 ;6 ;6M;0
0 ;3 ;3 ;3 ;3 ;2 ;2 ;2 ;2M;2 ;1 ;1 ;6 ;6 ;6 ;0
0 ;0 ;3 ;3P;3 ;2M;2 ;2M;2 ;2 ;1 ;6M;6 ;6P;6 ;0
0 ;3 ;3 ;3 ;3 ;2 ;2 ;2 ;0 ;2 ;1 ;6 ;0 ;6 ;6 ;0
0 ;3 ;3 ;0 ;3 ;0 ;3 ;3 ;0 ;0 ;6 ;6M;0 ;6 ;6 ;0
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
