64 64
2
4
4
34 48
0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
0 ;0 ;0 ;4M;0 ;4 ;4 ;4 ;0 ;4 ;4 ;0 ;4 ;4 ;0 ;4 ;4M;0 ;4 ;4 ;4 ;0 ;4 ;0 ;4 ;4 ;4 ;4M;4M;4 ;0 ;4 ;2M;2 ;2 ;2 ;0 ;0 ;0 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;0 ;0 ;2M;0 ;2 ;2 ;2 ;2 ;2 ;2M;2 ;2 ;2 ;2 ;2 ;2 ;0
0 ;0 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4M;4 ;0 ;4 ;4 ;4 ;4 ;4M;0 ;4 ;4 ;4 ;4 ;4 ;4 ;0 ;4 ;2 ;2 ;2 ;2 ;0 ;2M;2M;2M;2 ;2M;2M;2 ;2M;2M;2 ;2 ;2M;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2M;2 ;2 ;0
0 ;4M;4 ;4 ;4 ;4 ;4M;4 ;4M;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;2M;2 ;2 ;2 ;2 ;2 ;2 ;2M;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2M;2 ;2 ;2 ;2 ;2M;2 ;2 ;2 ;2 ;2 ;2 ;0
0 ;0 ;4 ;4M;4 ;4M;4 ;4 ;4 ;4M;4M;4M;4 ;4M;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2M;2 ;2 ;2 ;2 ;2M;2M;2 ;2 ;2 ;2 ;2 ;2M;2 ;2M;2 ;2 ;2 ;2 ;2 ;2M;0
0 ;0 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2M;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;0
0 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;2 ;2 ;2M;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2M;2 ;2 ;2 ;2 ;2 ;2M;2M;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;0
0 ;0 ;0 ;4 ;4M;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4M;4 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;2 ;2 ;2 ;2 ;2 ;2 ;2M;2 ;2 ;2M;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2M;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;0
0 ;0 ;4 ;4 ;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4M;4 ;4M;4 ;4 ;4 ;4 ;4M;4 ;4 ;2 ;2 ;2M;2 ;2 ;2 ;2 ;2M;2 ;2 ;2M;2 ;2M;2 ;2M;2 ;2 ;2M;2M;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;0
0 ;0 ;4 ;4 ;4M;4 ;4M;4 ;4 ;4M;4 ;4M;4M;4 ;4M;4 ;4M;4 ;4 ;4M;4 ;4 ;4M;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2M;2 ;2 ;2 ;2M;2 ;2 ;2 ;2M;2 ;2 ;2M;2 ;2 ;0
0 ;4 ;4 ;4 ;4 ;4M;4M;4M;4 ;4 ;4 ;4 ;4 ;4 ;4M;4M;4 ;4 ;4 ;4M;4 ;4 ;4M;4M;4 ;4M;4 ;4 ;4 ;4M;4 ;4M;2 ;2 ;2 ;2M;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2M;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;2 ;0
